title,link,abstract,keyword
"Chunlei Li, Ruimin Yang, Zhoufeng Liu, Jianjun Li, Zhenduo Guo, Semi-fragile self-recoverable watermarking scheme for face image protection, Computers & Electrical Engineering, Volume 54, August 2016, Pages 484-493, ISSN 0045-7906, https://doi.org/10.1016/j.compeleceng.2016.01.026.
","(http://www.sciencedirect.com/science/article/pii/S0045790616300131)
","Digital watermarking based biometric images protecting has been an active research focus. In this paper, we propose a face image protection scheme based on semi-fragile self-recoverable watermarking. Authentication watermark is generated from the singular value decomposition (SVD) coefficients for each image block, and information watermark is generated from the principal component analysis (PCA) coefficients. Both of them are embedded into wavelet medium frequency coefficients by using the proposed group-based wavelet quantization method. On the authentication side, after identifying the tampered regions, the proposed method can recover the tampered face images by using the hidden information watermark. Experimental results demonstrate that the proposed watermark scheme has high localization accuracy and robustness comparing with the existing techniques, and the recovered PCA coefficients can be used to reconstruct the Eigen-face image or be directly used for recognition system.
","Keywords: Semi-fragile; Self-recoverable; Tamper detection; Face image protection; PCA
"
"Gabriela Kennedy, Asia-Pacific news, Computer Law & Security Review, Volume 33, Issue 1, February 2017, Pages 123-128, ISSN 0267-3649, https://doi.org/10.1016/j.clsr.2016.12.005.
","(http://www.sciencedirect.com/science/article/pii/S0267364916302412)
","This column provides a country by country analysis of the latest legal developments, cases and issues relevant to the IT, media and telecommunications industries in key jurisdictions across the Asia Pacific region. The articles appearing in this column are intended to serve as ‘alerts’ and are not submitted as detailed analyses of cases or legal developments.
","Keywords: Asia-Pacific; IT/information technology; Communications; Internet; Media; Law
"
", About the Contributors, In Handbook of System Safety and Security, edited by Edward Griffor,, Syngress, Boston, 2017, Pages xiii-xxi, ISBN 9780128037737, https://doi.org/10.1016/B978-0-12-803773-7.00021-8.
","(http://www.sciencedirect.com/science/article/pii/B9780128037737000218)
",,
"Erik Hofmann, Marco Rüsch, Industry 4.0 and the current status as well as future prospects on logistics, Computers in Industry, Volume 89, August 2017, Pages 23-34, ISSN 0166-3615, https://doi.org/10.1016/j.compind.2017.04.002.
","(http://www.sciencedirect.com/science/article/pii/S0166361517301902)
","Industry 4.0, referred to as the “Fourth Industrial Revolution”, also known as “smart manufacturing”, “industrial internet” or “integrated industry”, is currently a much-discussed topic that supposedly has the potential to affect entire industries by transforming the way goods are designed, manufactured, delivered and payed. This paper seeks to discuss the opportunities of Industry 4.0 in the context of logistics management, since implications are expected in this field. The authors pursue the goal of shedding light on the young and mostly undiscovered topic of Industry 4.0 in the context of logistics management, thus following a conceptual research approach. At first, a logistics-oriented Industry 4.0 application model as well as the core components of Industry 4.0 are presented. Different logistics scenarios illustrate potential implications in a practice-oriented manner and are discussed with industrial experts. The studies reveal opportunities in terms of decentralisation, self-regulation and efficiency. Moreover, it becomes apparent that the concept of Industry 4.0 still lacks a clear understanding and is not fully established in practice yet. The investigations demonstrate potential Industry 4.0 implications in the context of Just-in-Time/Just-in-Sequence and cross-company Kanban systems in a precise manner. Practitioners could use the described scenarios as a reference to foster their own Industry 4.0 initiatives, with respect to logistics management.
","Keywords: Advanced manufacturing; Internet of things; Cyber-physical systems; Distributed ledger technology; Cross-company kanban; Just-in-time; Just-in-sequence
"
", Contents, Procedia Computer Science, Volume 98, 2016, Pages iii-vi, ISSN 1877-0509, https://doi.org/10.1016/S1877-0509(16)32272-4.
","(http://www.sciencedirect.com/science/article/pii/S1877050916322724)
",,
"R. Gevers, Chapter 2 - The hacker group, In Cyber Guerilla, Syngress, Boston, 2016, Pages 15-39, ISBN 9780128051979, https://doi.org/10.1016/B978-0-12-805197-9.00002-4.
","(http://www.sciencedirect.com/science/article/pii/B9780128051979000024)
","The purpose of this chapter is to look at organizational aspects of cyber guerilla. This chapter first discusses the type of individual and mind-set required to conduct cyber guerilla. It discusses the two specific roles a hacker group member has to be able to fulfill, as a social reformer and as a combatant. The type of individual sought after is strongly developed both intellectually and ideologically. Besides that he or she will not shy away from taking responsibility and fighting on the digital forefront during uprisings, unrests, and conflicts. These individuals are influential on their own, but when organized in a hacker group they can rise to unprecedented heights. The organization of the hacker group consists of the following disciplines: leadership, recruiting, infrastructure, engineering, and external communication.
","Keywords: hacker group; organization; mind-set; skill-set; recruiting; infrastructure; communication
"
"Rik Eshuis, Alex Norta, Raoul Roulaux, Evolving process views, Information and Software Technology, Volume 80, December 2016, Pages 20-35, ISSN 0950-5849, https://doi.org/10.1016/j.infsof.2016.08.004.
","(http://www.sciencedirect.com/science/article/pii/S0950584916301240)
","Context: Process views support the paradigm of Business Process Outsourcing, in which providers perform business processes on behalf of their clients. A public process view shields secret or irrelevant details from a private, internal business process, thus allowing a provider to reveal only relevant, non-confidential parts of its business process to its clients. Providers can change their internal business processes that may result in inconsistencies with the corresponding process views.
","Objective: This paper aims to develop an approach for propagating changes from an internal, private process to its public process view, such that the internal process and its process view remain consistent.
"
"Method: We develop the approach in a formal way. Definitions of process models and process views are based on BPEL, the standard language for realizing process models using state-of-the-art service-oriented technology. We validate the feasibility of the approach by showing how it can be supported by a conceptual system architecture.
","Results: The approach relies on two key results. First, a formal characterization of the set of private changes to an internal process, i.e., changes that do not need to be propagated to the process view. Second, a characterization of the non-private changes that can safely be propagated from an internal process to its process view such that they remain consistent. Other non-private changes result in an internal process and a process view that are not consistent. The approach is supported by a system architecture for process-based business collaboration.
","Conclusion: The approach supports providers in deciding if and how changes to a private, internal process propagate to its public process view such that the process view and the internal process remain consistent. The approach allows clients to monitor a public process view such that they can safely track changes made to a private, internal process.
","Keywords: Inter-organizational; Business process management; Process evolution; Process visibility; Smart contract; E-governance; Decentralized autonomous organization
"
"Markus Schatten, Jurica Ševa, Igor Tomičić, A roadmap for scalable agent organizations in the Internet of Everything, Journal of Systems and Software, Volume 115, May 2016, Pages 31-41, ISSN 0164-1212, https://doi.org/10.1016/j.jss.2016.01.022.
","(http://www.sciencedirect.com/science/article/pii/S0164121216000170)
","Computing is increasingly ubiquitous, with everyday items including smartphones, cars, clothes and household appliances gaining increasingly sophisticated computing and communication capacities. With the development of the Internet of Things, it is just a matter of time before devices have to collaborate and compete with each other, in order to provide better services to mankind. These embedded software systems are increasingly autonomous and connected, and can thus be modeled as multiagent systems (MAS). Only 30 years ago it was science fiction that over a billion people will exchange billions of e-mails on a daily basis. Today a scenario of millions of collaborating agents sometimes embedded in gadgets and appliances, sometimes in form of networked and big data services, may also sound futuristic. However given the current rate of development in electronics, we will soon have to manage large scale MAS where millions of agents exist, collaborate and compete. Organization theory provides the necessary methodology to approach complex systems in order to design, implement and strategically manage them towards success. In this paper a state-of-the-art on organizational design techniques for large-scale MAS will be presented, missing advancements will be identified and a roadmap for future developments and application scenarios will be provided.
","Keywords: Organizational design; Large-scale multiagent system; Internet of Things
"
"Kostas Kolomvatsos, Kyriaki Panagidi, Ioannis Neokosmidis, Dimitris Varoutas, Stathes Hadjiefthymiades, Automated concurrent negotiations: An artificial bee colony approach, Electronic Commerce Research and Applications, Volume 19, September–October 2016, Pages 56-69, ISSN 1567-4223, https://doi.org/10.1016/j.elerap.2016.09.002.
","(http://www.sciencedirect.com/science/article/pii/S1567422316300473)
","In Electronic Marketplaces (EMs), a number of unknown entities can interact to conclude purchase actions. Interactions are, usually, between buyers and sellers. Both groups of entities (e.g., buyers, sellers) aim to acquire items in the most profitable price. The discussed interactions are realized in the form of negotiations over a number of items characteristics. In this paper, we focus on the buyer side and deal with automated multi-issue concurrent negotiations. Such negotiations are between buyers and multiple sellers having in their property specific items. Each buyer negotiates with a number of sellers trying to achieve the most profitable value for a number of items’ characteristics. We propose an optimization model for achieving the maximum possible utility. Our method adopts the principles of the Artificial Bee Colony (ABC) algorithm that offers a number of advantages compared to other Swarm Intelligence (SI) methods (e.g., Particle Swarm Optimization – PSO). The buyer, based on a number of threads, tries to find the optimal agreement when negotiating with a group of sellers. Every agreement, realized with a specific seller, results a utility for the buyer concluded over a weighted scheme on the items characteristics. Each thread adopts a weights adaptation model for optimizing the utility. A set of experiments reveal the strengths and weaknesses of the proposed model. We also report on a comparison assessment between the proposed method and other efforts found in the respective literature.
","Keyword: Concurrent negotiations
"
"Mostafa Farshchi, Jean-Guy Schneider, Ingo Weber, John Grundy, Metric selection and anomaly detection for cloud operations using log and metric correlation analysis, Journal of Systems and Software, Available online 22 March 2017, ISSN 0164-1212, https://doi.org/10.1016/j.jss.2017.03.012.
","(http://www.sciencedirect.com/science/article/pii/S0164121217300596)
","Cloud computing systems provide the facilities to make application services resilient against failures of individual computing resources. However, resiliency is typically limited by a cloud consumer’s use and operation of cloud resources. In particular, system operations have been reported as one of the leading causes of system-wide outages. This applies specifically to DevOps operations, such as backup, redeployment, upgrade, customized scaling, and migration – which are executed at much higher frequencies now than a decade ago. We address this problem by proposing a novel approach to detect errors in the execution of these kinds of operations, in particular for rolling upgrade operations. Our regression-based approach leverages the correlation between operations’ activity logs and the effect of operation activities on cloud resources. First, we present a metric selection approach based on regression analysis. Second, the output of a regression model of selected metrics is used to derive assertion specifications, which can be used for runtime verification of running operations. We have conducted a set of experiments with different configurations of an upgrade operation on Amazon Web Services, with and without randomly injected faults to demonstrate the utility of our new approach.
","Keywords: Cloud application operations; Cloud monitoring; Metric selection; Anomaly detection; Error detection; Log analysis
"
"Andrey Itkin, Alexander Lipton, Filling the gaps smoothly, Journal of Computational Science, Available online 20 February 2017, ISSN 1877-7503, https://doi.org/10.1016/j.jocs.2017.02.003.
","(http://www.sciencedirect.com/science/article/pii/S1877750317301539)
","The calibration of a local volatility models to a given set of option prices is a classical problem of mathematical finance. It was considered in multiple papers where various solutions were proposed. In this paper an extension of the approach proposed in Lipton, Sepp 2011 is developed by (i) replacing a piecewise constant local variance construction with a piecewise linear one, and (ii) allowing non-zero interest rates and dividend yields. Our approach remains analytically tractable; it combines the Laplace transform in time with an analytical solution of the resulting spatial equations in terms of Kummer's degenerate hypergeometric functions.
","Keywords: Local volatility surface; Piecewise linear variance; Laplace transform; Arbitrage-free interpolation
"
