title,link,abstract,keyword
"Steve Watt, Chris Milne, David Bradley, David Russell, Peter Hehenberger, Jorge Azorin-Lopez, Privacy Matters – Issues within Mechatronics, IFAC-PapersOnLine, Volume 49, Issue 21, 2016, Pages 423-430, ISSN 2405-8963, https://doi.org/10.1016/j.ifacol.2016.10.641.
","(http://www.sciencedirect.com/science/article/pii/S2405896316322534)
","Abstract: Abstract:
","As mechatronic devices and components become increasingly integrated with and within wider systems concepts such as Cyber-Physical Systems and the Internet of Things, designer engineers are faced with new sets of challenges in areas such as privacy. The paper looks at the current, and potential future, of privacy legislation, regulations and standards and considers how these are likely to impact on the way in which mechatronics is perceived and viewed. The emphasis is not therefore on technical issues, though these are brought into consideration where relevant, but on the soft, or human centred, issues associated with achieving user privacy.
"
"Keywords: Privacy; Users; Big Data; Security; Mechatronics; Cyber-Physical Systems; Internet of Things
",,,
"Huaqun Wang, Debiao He, Yimu Ji, Designated-verifier proof of assets for bitcoin exchange using elliptic curve cryptography, Future Generation Computer Systems, Available online 14 July 2017, ISSN 0167-739X, https://doi.org/10.1016/j.future.2017.06.028.
","(http://www.sciencedirect.com/science/article/pii/S0167739X1731350X)
","Based on the core technique of blockchain, bitcoin is designed for the first time. Bitcoin is a digital currency and a payment system. The blockchain is a digital ledger that records every bitcoin transaction that has ever occurred. The users’ privacy is preserved in the bitcoin exchange by using the blockchain. In some application scenarios, it is important to show the buyer’s assets strength in order to avoid the troublemakers. At the same time, it is also necessary to preserve the buyer’s assets privacy. In this paper, we propose the novel concept of DV-PoA (designated-verifier proof of assets) for bitcoin exchange. Since bitcoin exchange’s signature takes use of the elliptic curve cryptography, we design the first concrete DV-PoA scheme by using elliptic curve cryptography in order to be consistent with it. Then, we prove the security of the proposed DV-PoA scheme. After that, we analyze its efficiency from the two cases: theory and implementation. Our analysis shows that the designed DV-PoA scheme is provably secure and efficient.
","Keywords: Bitcoin; Blockchain; Designated-verifier signature; Elliptic curve cryptography
"
"Mark Giancaspro, Is a ‘smart contract’ really a smart idea? Insights from a legal perspective, Computer Law & Security Review, Available online 5 June 2017, ISSN 0267-3649, https://doi.org/10.1016/j.clsr.2017.05.007.
","(http://www.sciencedirect.com/science/article/pii/S026736491730167X)
","Swift developments in the emerging field of blockchain technology have facilitated the birth of ‘smart contracts’: computerised transaction protocols which autonomously execute the terms of a contract. Smart contracts are disintermediated and generally transparent in nature, offering the promise of increased commercial efficiency, lower transaction and legal costs, and anonymous transacting. The business world is actively investigating the use of blockchain technology for various commercial purposes. Whilst questions surround the security and reliability of this technology, and the negative impact it may have upon traditional intermediaries, there are equally significant concerns that smart contracts will encounter considerable difficulty adapting to current legal frameworks regulating contracts across jurisdictions. This article considers the potential issues with legal and practical enforceability that arise from the use of smart contracts within both civil and common law jurisdictions.
","Keywords: Smart; Contract; Law; Enforceability; Blockchain; Technology; Computer; Program; Intermediary; Ledger
"
"Esther Mengelkamp, Johannes Gärttner, Kerstin Rock, Scott Kessler, Lawrence Orsini, Christof Weinhardt, Designing microgrid energy markets: A case study: The Brooklyn Microgrid, Applied Energy, Available online 23 June 2017, ISSN 0306-2619, https://doi.org/10.1016/j.apenergy.2017.06.054.
","(http://www.sciencedirect.com/science/article/pii/S030626191730805X)
","Generation from distributed renewable energy sources is constantly increasing. Due to its volatility, the integration of this non-controllable generation poses severe challenges to the current energy system. Thus, ensuring a reliable balance of energy generation and consumption becomes increasingly demanding. In our approach to tackle these challenges, we suggest that consumers and prosumers can trade self-produced energy in a peer-to-peer fashion on microgrid energy markets. Thus, consumers and prosumers can keep profits from energy trading within their community. This provides incentives for investments in renewable generation plants and for locally balancing supply and demand. Hence, both financial as well as socio-economic incentives for the integration and expansion of locally produced renewable energy are provided. The efficient operation of these microgrid energy markets requires innovative information systems for integrating the market participants in a user-friendly and comprehensive way. To this end, we present the concept of a blockchain-based microgrid energy market without the need for central intermediaries. We derive seven market components as a framework for building efficient microgrid energy markets. Then, we evaluate the Brooklyn Microgrid project as a case study of such a market according to the required components. We show that the Brooklyn Microgrid fully satisfies three and partially fulfills an additional three of the seven components. Furthermore, the case study demonstrates that blockchains are an eligible technology to operate decentralized microgrid energy markets. However, current regulation does not allow to run local peer-to-peer energy markets in most countries and, hence, the seventh component cannot be satisfied yet.
","Keywords: Microgrid energy market; Market design; Blockchain; Case study; Peer-to-peer trading; Renewable energy
"
"Alex Roehrs, Cristiano André da Costa, Rodrigo da Rosa Righi, OmniPHR: A distributed architecture model to integrate personal health records, Journal of Biomedical Informatics, Volume 71, July 2017, Pages 70-81, ISSN 1532-0464, https://doi.org/10.1016/j.jbi.2017.05.012.
","(http://www.sciencedirect.com/science/article/pii/S1532046417301089)
","The advances in the Information and Communications Technology (ICT) brought many benefits to the healthcare area, specially to digital storage of patients’ health records. However, it is still a challenge to have a unified viewpoint of patients’ health history, because typically health data is scattered among different health organizations. Furthermore, there are several standards for these records, some of them open and others proprietary. Usually health records are stored in databases within health organizations and rarely have external access. This situation applies mainly to cases where patients’ data are maintained by healthcare providers, known as EHRs (Electronic Health Records). In case of PHRs (Personal Health Records), in which patients by definition can manage their health records, they usually have no control over their data stored in healthcare providers’ databases. Thereby, we envision two main challenges regarding PHR context: first, how patients could have a unified view of their scattered health records, and second, how healthcare providers can access up-to-date data regarding their patients, even though changes occurred elsewhere. For addressing these issues, this work proposes a model named OmniPHR, a distributed model to integrate PHRs, for patients and healthcare providers use. The scientific contribution is to propose an architecture model to support a distributed PHR, where patients can maintain their health history in an unified viewpoint, from any device anywhere. Likewise, for healthcare providers, the possibility of having their patients data interconnected among health organizations. The evaluation demonstrates the feasibility of the model in maintaining health records distributed in an architecture model that promotes a unified view of PHR with elasticity and scalability of the solution.
","Keywords: Personal health record; PHR; Blockchain; Interoperability; eHealth; mHealth
"
"L. Militano, A. Orsino, G. Araniti, M. Nitti, L. Atzori, A. Iera, Trust-based and social-aware coalition formation game for multihop data uploading in 5G systems, Computer Networks, Volume 111, 24 December 2016, Pages 141-151, ISSN 1389-1286, https://doi.org/10.1016/j.comnet.2016.08.001.
","(http://www.sciencedirect.com/science/article/pii/S1389128616302432)
","In this paper a trust-based coalition formation game is proposed to design opportunistic hop-by-hop forwarding schemes, relying on cellular Device-to-Device (D2D) communications, to enhance content uploading services. The User Equipments (UEs) are sources of data to be uploaded to a cellular base station (eNodeB) and are assumed to be rational self-interested players as they aim at maximizing their own utility. To this aim, the UEs cooperate to opportunistically implement proximity-based data exchanges where the presence of malicious nodes in the network is a constant threat for the successful cooperation. To cope with this issue, reliability and reputation notions are considered to model the level of trust among the players. Taking inspiration from the recent Social Internet of Things (SIoT) paradigm, social-awareness of the devices is spotted as a key parameter to effectively define the wished trustworthiness. The effectiveness of the proposed solution is validated through a simulative analysis showing a relevant reduction in the data loss due to malicious behavior of a subset of the devices. In particular, up to 86% reduction in terms of data loss is obtained with respect to the case where the proposed trust model is not implemented. Moreover, the trust-based and social-aware solution also guarantees higher gains in terms of the uploading time for the devices taking part of the cooperative D2D-based content uploading.
","Keywords: D2D; Trustworthiness; Social proximity; D2D communications; Game theory; 5G
"
"Nonhlanhla Ntuli, Adnan Abu-Mahfouz, A Simple Security Architecture for Smart Water Management System, Procedia Computer Science, Volume 83, 2016, Pages 1164-1169, ISSN 1877-0509, https://doi.org/10.1016/j.procs.2016.04.239.
","(http://www.sciencedirect.com/science/article/pii/S1877050916302721)
","Water scarcity and water stress issues have become clear threat to the global population. This makes water management a critical aspect to ensure sustainable water. An efficient water management system requires thousands of constraint devices (sensors and/or actuators) to be deployed across the water distribution network to enable near-real time monitoring and control of the water grid components. Security at both the device and network level is critical to the operation of such a system. Although several IT security controls have developed over the past few decades, they cannot be used directly with such constraint devices. This is due to their limited resources and unique requirements. However, some of these techniques can be adapted and used with these constraint devices. In this paper, we propose security architecture for smart water management systems, the architecture leverages existing security solutions and design patterns
","Keywords: smart water management system; security architecture; access token; smart water; iot security ;
"
"Danny Bradbury, Anonymity and privacy: a guide for the perplexed, Network Security, Volume 2014, Issue 10, October 2014, Pages 10-14, ISSN 1353-4858, https://doi.org/10.1016/S1353-4858(14)70102-3.
","(http://www.sciencedirect.com/science/article/pii/S1353485814701023)
","Abstract: Anonymity and privacy are two separate concepts that are often confused. It is a common problem, made worse by the fact that they are often connected and related to each other. Which of them should be used when, and what do they mean?
",
"The terms anonymity and privacy are often used interchangeably, even by experienced researchers and academics. In reality, they are entirely different.
",,,
"Danny Bradbury explores the difference between the two concepts, where anonymity is relevant, and how it can be protected. And he finds that, while there are many tools that purport to allow anonymity online, these are constantly under attack, and achieving either privacy or anonymity is no easy task.
",,,
"Rohit Talwar, April Koury, Artificial intelligence – the next frontier in IT security?, Network Security, Volume 2017, Issue 4, April 2017, Pages 14-17, ISSN 1353-4858, https://doi.org/10.1016/S1353-4858(17)30039-9.
","(http://www.sciencedirect.com/science/article/pii/S1353485817300399)
","Abstract: Security has always been an arms race between attacker and defender. He starts a war with a stick, you get a spear; he counters with a musket, you upgrade to a cannon; he develops a tank, you split the atom. While the consequences of organisational cyber-security breaches may not be as earth-shatteringly dramatic today, the arms race of centuries ago continues into the digital sphere of today.
",
"Adam S. Hayes, Cryptocurrency value formation: An empirical study leading to a cost of production model for valuing bitcoin, Telematics and Informatics, Available online 13 May 2016, ISSN 0736-5853, https://doi.org/10.1016/j.tele.2016.05.005.
","(http://www.sciencedirect.com/science/article/pii/S0736585315301118)
","This paper aims to identify the likely determinants for cryptocurrency value formation, including for that of bitcoin. Due to Bitcoin’s growing popular appeal and merchant acceptance, it has become increasingly important to try to understand the factors that influence its value formation. Presently, the value of all bitcoins in existence represent approximately $7 billion, and more than $60 million of notional value changes hands each day. Having grown rapidly over the past few years, there is now a developing but vibrant marketplace for bitcoin, and a recognition of digital currencies as an emerging asset class. Not only is there a listed and over-the-counter market for bitcoin and other digital currencies, but also an emergent derivatives market. As such, the ability to value bitcoin and related cryptocurrencies is becoming critical to its establishment as a legitimate financial asset.
",
"Using cross-sectional empirical data examining 66 of the most widely used cryptocurrencies, a regression model was estimated that points to three main drivers of cryptocurrency value: the level of competition in the network of producers, the rate of unit production, and the difficulty of algorithm used to “mine” for the cryptocurrency. These amount to relative differences in the cost of production of one digital currency over another at the margin, pointing to differences in relative cost of production – electricity goes in, cryptocurrency comes out. Using that as a starting point, a no-arbitrage situation is established for Bitcoin-like cryptocurrencies followed by the formalization of a cost of production model to determine the fair value of a bitcoin.
","Keywords: Bitcoin; Cryptocurrencies; Digital currencies; Blockchain; Asset pricing; Altcoins
",,
"Preston Miller, Chapter 1 - The cryptocurrency enigma, In Digital Forensics, edited by John Sammons,, Syngress, Boston, 2016, Pages 1-25, ISBN 9780128045268, https://doi.org/10.1016/B978-0-12-804526-8.00001-0.
","(http://www.sciencedirect.com/science/article/pii/B9780128045268000010)
","Bitcoin has become a fixture in today’s modern society, a source of innovation and mystery, and has begun to change the way we think about currency. Because of Bitcoin’s success, many modern cryptocurrencies are simply variations on the Bitcoin framework. These Bitcoin derivatives are referred to as Altcoins. By understanding the cryptocurrency framework, through analysis of Bitcoin, examiners will be capable of understanding artifacts in a wide range of cryptocurrencies. In this chapter, we learn Bitcoin through example by first understanding the underlying theory and then seeing it in action. By using the MultiBit HD client, we observe transactions coming across the wire and look for their network and disk-based artifacts. From this approach we accomplish two things: the reader obtains a technical understanding of how cryptocurrencies work and how to forensically analyze and evaluate cryptocurrency artifacts.
","Keywords: Bitcoin; blockchain; cryptocurrencies; asymmetric encryption; network and disk-based artifacts; MultiBit HD; digital signature; decentralized; proof of work; mining
"
"Aafaf Ouaddah, Hajar Mousannif, Anas Abou Elkalam, Abdellah Ait Ouahman, Access control in the Internet of Things: Big challenges and new opportunities, Computer Networks, Volume 112, 15 January 2017, Pages 237-262, ISSN 1389-1286, https://doi.org/10.1016/j.comnet.2016.11.007.
","(http://www.sciencedirect.com/science/article/pii/S1389128616303735)
","In this paper, an extensive state of the art review of different access control solutions in IoT within the Objectives, Models, Architecture and Mechanisms (OM-AM) way is provided. An analysis of the security and privacy requirements for the most dominant IoT application domains, including Personal and home, Government and utilities, and Enterprise and industry, is conducted. The pros and cons of traditional, as well as recent access control models and protocols from an IoT perspective are highlighted. Furthermore, a qualitative and a quantitative evaluation of the most relevant IoT related-projects that represent the majority of research and commercial solutions proposed in the field of access control conducted over the recent years (2011- 2016) is achieved. Finally, potential challenges and future research directions are defined.
","Keywords: Internet of Things; Security; Privacy; Access control
"
"Michael P. Andersen, Gabe Fierro, David E. Culler, Enabling synergy in IoT: Platform to service and beyond, Journal of Network and Computer Applications, Volume 81, 1 March 2017, Pages 96-110, ISSN 1084-8045, https://doi.org/10.1016/j.jnca.2016.10.017.
","(http://www.sciencedirect.com/science/article/pii/S1084804516302521)
","To enable a prosperous Internet of Things (IoT), devices and services must be extensible and adapt to changes in the environment or user interaction patterns. These requirements manifest as a set of design principles for each of the layers in an IoT ecosystem, from hardware to cloud services. This paper gives concrete guidelines learned from implementing and deploying a full-stack synergistic IoT platform. We address hardware design concerns and present a reference platform, Firestorm. Upon this platform, we demonstrate firmware and personal-area networking concerns and solutions. Moving out towards larger scales we address local service discovery and syndication, and show how these principles carry through to global operation where security concerns dominate.
","Keywords: Internet of Things; Wireless sensor networks; Sensor motes; Middleware; Security; Trust; Embedded operating systems; Publish-subscribe
"
"Jan Henrik Ziegeldorf, Roman Matzutt, Martin Henze, Fred Grossmann, Klaus Wehrle, Secure and anonymous decentralized Bitcoin mixing, Future Generation Computer Systems, Available online 30 May 2016, ISSN 0167-739X, https://doi.org/10.1016/j.future.2016.05.018.
","(http://www.sciencedirect.com/science/article/pii/S0167739X16301297)
","The decentralized digital currency Bitcoin presents an anonymous alternative to the centralized banking system and indeed enjoys widespread and increasing adoption. Recent works, however, show how users can be reidentified and their payments linked based on Bitcoin’s most central element, the blockchain, a public ledger of all transactions. Thus, many regard Bitcoin’s central promise of financial privacy as broken.
",
"In this paper, we propose CoinParty, an efficient decentralized mixing service that allows users to reestablish their financial privacy in Bitcoin and related cryptocurrencies. CoinParty, through a novel combination of decryption mixnets with threshold signatures, takes a unique place in the design space of mixing services, combining the advantages of previously proposed centralized and decentralized mixing services in one system. Our prototype implementation of CoinParty scales to large numbers of users and achieves anonymity sets by orders of magnitude higher than related work as we quantify by analyzing transactions in the actual Bitcoin blockchain. CoinParty can easily be deployed by any individual group of users, i.e., independent of any third parties, or provided as a commercial or voluntary service, e.g., as a community service by privacy-aware organizations.
","Keywords: Bitcoin, digital cash; Privacy-preserving protocols; Pseudonymity, anonymity and untraceability
",,
"Grzegorz Spyra, William J. Buchanan, Elias Ekonomou, Sticky policies approach within cloud computing, Computers & Security, Volume 70, September 2017, Pages 366-375, ISSN 0167-4048, https://doi.org/10.1016/j.cose.2017.07.005.
","(http://www.sciencedirect.com/science/article/pii/S016740481730144X)
","This paper discusses a secure document sharing approach, which addresses confidentiality, integrity and authenticity concerns related to cloud-based data sharing. This research is focused on a secure construct that would integrate with other cloud ready standards and products for data protection. Sticky policies, recently considered as one of the preferred cloud data protection techniques, are here combined with standardized OOXML data package. The defined model leverages the Identity Based Encryption (IBE) scheme to attach sticky policies to the data. This paper also shows several security features and functions that are suitable for secure data sharing in the cloud. Technologies used for proposed construction are not new, therefore only their unique combination with AES key derived from XACML sticky policy via IBE and OOXML wrapper constitutes novelty of this research.
","Keywords: IRM; Sticky policies; IBE; Cloud security; XACML; Cryptography
"
"Norbert Druml, Juergen Schilling, Walther Pachler, Bernhard Roitner, Thomas Ruprechter, Holger Bock, Gerald Holweg, Secured miniaturized system-in-package contactless and passive authentication devices featuring NFC, Microprocessors and Microsystems, Volume 53, August 2017, Pages 120-129, ISSN 0141-9331, https://doi.org/10.1016/j.micpro.2017.07.011.
","(http://www.sciencedirect.com/science/article/pii/S0141933117300236)
","RFID/NFC technology is widely spread nowadays and applications can be found in our everyday life, for example, in payment, transportation, logistics, healthcare, and access control. State-of-the-art contactless and passive authentication solutions implement relatively large coils outside of the chip. Therefore, the minimum size is in the order of a few square centimeters, which limits their use for tagging of certain small-sized goods. On top of that, those miniaturized solutions which are available today provide only limited security measures.
",
"Here we introduce miniaturized system-in-package contactless authentication devices. This novel solution integrates Infineon Technologies’ CIPURSETMmove IC, which is a state-of-the-art security solution featuring an open security standard, into embedded Wafer Level Ball Grid Array (eWLB) packages, together with HF-antennas, ferrites, as well as discrete elements that improve HF-coupling characteristics.
",,,
"The presented devices provide better HF-coupling characteristics than Coil-on-Chip approaches, which also enable verification of authenticity of tagged products through NFC-enabled smart phones. Thanks to the miniaturized package sizes of 3 × 3 mm, integration into high-priced products, casings, consumable materials, etc., can be achieved in a discreet way. Furthermore, the integrated CIPURSETM chip enables not only the anti-counterfeiting use-case, but also micropayment, ticketing, access control, and password storage in a secured way. Therefore, this miniaturized contactless authentication solution will open up whole new fields of applications.
","Keywords: Security; System-in-package; eWLB; RFID; NFC; CIPURSETM
",,
